app,version,review_date,star_rating,review
instagram,'83.0',3/8/2019,4,"Biased,racist and provocateur of race wars! None the less not any better than the Bolsheviks killing millions left and right... good job clowns! You guys are a bunch of commie scums and you will face justice"
instagram,'83.0',3/8/2019,5,Excelente
instagram,'83.0',3/8/2019,1,A lot of Russian spam coming from group chats. No functionality to report such chats or setting to block anyone to add me to a chat.
instagram,'83.0',3/8/2019,4,I love to able to share my creativity it lags when in sending and posting but it could be WiFi other the entertainment categories is net.
instagram,'83.0',3/8/2019,5,I love Instagram is one of the best apps
instagram,'83.0',3/7/2019,5,very good app in world
instagram,'83.0',3/7/2019,3,just update to smart invert videos please
instagram,'83.0',3/7/2019,5,"After the newest update, videos on my feed will not play and I have to restart the app to get them to play. Additionally, stories will also not load, play, or be marked as seen when this bug occurs. This happens to my friends and I several times a day, please patch it! Thanks"
instagram,'83.0',3/7/2019,4,can you guys actually make our feed in chronological order PLEASE
instagram,'83.0',3/7/2019,5,Best app to communicate with the people around you :)
instagram,'83.0',3/7/2019,5,I love instagram so much
instagram,'83.0',3/7/2019,1,It has way to many glitches
instagram,'83.0',3/7/2019,5,Not letting me go live with people so plz fix it
instagram,'83.0',3/7/2019,1,For some reason I cannot use tools like music or link to url in my stories and it makes it frustrating sharing things with my account
instagram,'83.0',3/7/2019,1,"After most recent update, Instagram denied us the right to see who viewed our stories and highlight! Makes me feel unsafe not to be able to see my own data. Please fix this issue"
instagram,'83.0',3/7/2019,5,The best digital presentation of the highest level of luxury architecture and interior design and furnishings for your viewing and reading pleasure. Leo Dowell Designs
instagram,'83.0',3/7/2019,2,Constantly run into problem and have to re-edit the photos all over again
instagram,'83.0',3/7/2019,2,The update that was done beginning of March 2019 causes the app to freeze and shut down. This happened a couple months back and an old update fixed it. Fix it insta. Thanks.
instagram,'83.0',3/7/2019,5,YEET PEET DEEK LEEK REEK BEECH
instagram,'83.0',3/7/2019,1,"I have an issue accessing my main account and have almost no means of connecting with instagram to address this issue. I need to get back in to my account and instagram is extremely slow in responding, as well as uncooperative even though I am readily able to provide the information necessary to access my account."
instagram,'83.0',3/7/2019,5,I dig it
instagram,'83.0',3/7/2019,1,"when you want to change your password, the text message link never works"
instagram,'83.0',3/7/2019,5,Good app
instagram,'83.0',3/7/2019,5,Best ever
instagram,'83.0',3/7/2019,5,Yay!!
instagram,'83.0',3/7/2019,4,Instagram is fun to look at and show proper your life but if your are under the age of 10 you should not have this app because there is social media and sometimes dangerous hackers and hacks.
instagram,'83.0',3/7/2019,1,The new update is actually so bad idk why I had it on auto update
instagram,'83.0',3/7/2019,2,Can you please put the pictures back in order to Times they were posted? The new algorithm makes me miss photos. And I get less likes. No one likes it. Thanks
instagram,'83.0',3/7/2019,3,"I have over 1,000 posts I want to delete so I can make my account nice pristine and clean, but a) I can only delete one at a time and b) the app will let me delete the posts one by one but once I refresh the page all of the posts are still on my page? Please fix the issue with deleted posts coming back and allow mass deletion of posts"
instagram,'83.0',3/7/2019,5,It's lots of fun!
instagram,'83.0',3/7/2019,5,#Workflow @BenjaminTankHarris1
instagram,'83.0',3/7/2019,1,"I have asked many times & sent multiple support requests. I cannot add music to my stories. I had an iPhone X, and just upgraded to an XS Max. Music feature STILL DOESNT WORK. Instagram please respond to my emails!!!!!"
instagram,'83.0',3/7/2019,5,You will love it too!
instagram,'83.0',3/7/2019,5,Great
instagram,'83.0',3/7/2019,1,Quality is horrible when i upload pictures or videos
instagram,'83.0',3/7/2019,5,Nice
instagram,'83.0',3/7/2019,5,la mejor app
instagram,'83.0',3/7/2019,2,"I loved Instagram but these bot accounts are getting annoying. Every post I look at has at least 1000 bot accounts in the comments and on top of that now, when u tag a certain account (such as @haqnii) you automatically get 500 likes on your comment. This app is garbage now."
instagram,'83.0',3/7/2019,5,I love this app
instagram,'83.0',3/7/2019,4,Yes instagram needs a cover photo or background option !
instagram,'83.0',3/7/2019,1,"instagram has been DELETING accounts. i have a friend of mine, who had just hit 1k, and had been working on the account for a very long time, and her account was just deleted. please fix this issue. i know this is happening to many people/accounts."
instagram,'83.0',3/7/2019,2,I got a new email and forgot to change my email on my Instagram and now it is not letting me in and I am very mad. I would like for you to help please.
instagram,'83.0',3/7/2019,1,For some reason you had disable my last account for no reason so I have to create a new account and every time I try to make a new account it always Reject my sign on I am not happy about this and every time I try to add friends from Facebook it will never let me
instagram,'83.0',3/7/2019,1,It is highly recommended to support ipad
instagram,'83.0',3/7/2019,2,I have two accounts professional and personal. When I try to log in to my professional it takes me to my personal every time. This is ridiculous and it needs to be fixed
instagram,'83.0',3/7/2019,5,Love it
instagram,'83.0',3/7/2019,4,You need better filters and come up with your own ideas stop just stealing snapchats
instagram,'83.0',3/7/2019,3,The application is nice. The purpose is meaningless.
instagram,'83.0',3/7/2019,3,Stop the algorithm!!!
instagram,'83.0',3/7/2019,1,Please let us remove people from GroupChats! Let us be Administrators of a group chat!
instagram,'83.0',3/7/2019,1,"Your ads have gotten ridiculous. If it continues, I will and possibly move to another platform."
instagram,'83.0',3/7/2019,1,New posts automatically disappear.
instagram,'83.0',3/7/2019,1,Since the last update the main people I tag my dank memes to are missing.  Why you do this?
instagram,'83.0',3/7/2019,2,Please fix when videos get uploaded that the quality is not ruined it is ridiculous how bad the quality is
instagram,'83.0',3/7/2019,1,That REALLY is pissing me off
instagram,'83.0',3/7/2019,5,"Hi, Thanks for asking me to give you feedback. I faced a problem a few weeks ago and reported it twice, but unfortunately got no replies. I, as an active member, expect to get a prompt answer for any problems.  Regards!  Hossein,"
instagram,'83.0',3/7/2019,1,This app makes me wanna kill my self .
instagram,'83.0',3/7/2019,5,I really love Instagram! I love how you can do so much on your story and I love liking other peoples post
instagram,'83.0',3/7/2019,5,Why when I need make music in my pic I can found this option can you support me
instagram,'83.0',3/7/2019,2,There sights lean left. There are no more freethinkers anymore.   Someone needs to prepare soon
instagram,'83.0',3/7/2019,3,Everything is working perfect but when i want to add three or four pics just doesnt post it.
instagram,'83.0',3/7/2019,4,"I dont like The new update because i cant See anymore Who saw my stories from highlight, please do something about this"
instagram,'83.0',3/7/2019,4,Too many adds nowadays
instagram,'83.0',3/7/2019,5,"I love Instagram because you can make new friends, gain followers and post videos and pictures of you."
instagram,'83.0',3/7/2019,5,Excellent service
instagram,'83.0',3/7/2019,1,Bad update Why was the number of images in the pages removed?
instagram,'83.0',3/6/2019,2,After repeated attempts at getting assistance with this issue nothing has happened. No messages from anyone. No improvement whatsoever. I have been trying for months. I  have tried all the online advice but none has come from Instagram staff. My other account has music with zero issues. I dissatisfied with their customer support.
instagram,'83.0',3/6/2019,5,this is the best app I have jfiendndndjdidjrnfjduxjdnfnnffnnfjfjfi
instagram,'83.0',3/6/2019,5,Love this app but it would be even better if we could get an easier way to get to the beginning of our dms! hate scrolling all the way to the top!
instagram,'83.0',3/6/2019,5,it is very useful
instagram,'83.0',3/6/2019,5,Great
instagram,'83.0',3/6/2019,4,Instagram is great and all but you m so what would make it wayyyy better?? If we could see who saved your posts instead of just what posts were saved
instagram,'83.0',3/6/2019,1,"Hi, Instagram we as photographers need to rearrange our grid here and there so please make an update regarding this for a 5 star"
instagram,'83.0',3/6/2019,5,It is awesome but i would add some broader decorations of the IG. That would be even more cool.
instagram,'83.0',3/6/2019,5,It the best app to get
instagram,'83.0',3/6/2019,5,This is a amazing app
instagram,'83.0',3/6/2019,1,"Deadass cant log in, always get an error My friends cant log out and log back in because it will lock them out Fix. Your. App."
instagram,'83.0',3/6/2019,3,Not loving the new algorithms. Way harder to find and follow people organically.
instagram,'83.0',3/6/2019,3,Recently there has been a lot of horrible ads being promoted by Instagram but among the worst are sponsored posts from literal middle and high school kids just trying to gain followers.... I think this is clearly taking advantage of kids and setting up very harmful ideals of what they should value.... please do something about this.
instagram,'83.0',3/6/2019,3,What the hell is wrong with the post notification? I get at least three notifications for the SAME post someone I follow makes. Please fix this it is super annoying.   Also I always get live notification from someone I never interact with but no notification from someone I really care about. Can you improve your algorithm?
instagram,'83.0',3/6/2019,2,I no longer have the music sticker or option on my Instagram story and I have no idea what it would've have just disappeared now?
instagram,'83.0',3/6/2019,5,A lot of ads in my page
instagram,'83.0',3/6/2019,4,Please put a feature where you can edit your multiple images post. Can't tell you how many times I've posted and decided i wanted to add/delete a picture within the multiple post after i posted it.  I would very much appreciate it! Thanks
instagram,'83.0',3/6/2019,2,This new update as of 3/6/19 is so terrible and has to go. PLEASE GET RID OF IT
instagram,'83.0',3/6/2019,5,I love your app sm
instagram,'83.0',3/6/2019,4,"hi the new format thats on my main account is kinda funky and feels backwards of what instagram was doing, it feels so big and in your face rather than the old format that was smaller."
instagram,'83.0',3/6/2019,5,Excelente
instagram,'83.0',3/6/2019,4,"I love Instagram and I'm on it all the time. My only comment would be to be able to edit the photos differently. Like on a post, you can edit out some of the photos. If you have more than one photo, you could get rid of one of them and keep the other ones."
instagram,'83.0',3/6/2019,4,I wish I could get the real App Store version instead of the ITunes brbn.instagram one. Apple needs to fix the bugs that allow such issues.
instagram,'83.0',3/6/2019,5,The speed on it is so good and it shows peoples stories of their daily life so I luv it
instagram,'83.0',3/6/2019,1,i would give it 4 stars but im trying to log into my account and it doesnt let me!!!! it says error pls fix this NOW!!!
instagram,'83.0',3/6/2019,5,Enjoy instagram much better than any other social media!
instagram,'83.0',3/6/2019,5,I love this app it is so fun I love that we can follow people and text their friends but there are some difficulties of taking pictures
instagram,'83.0',3/6/2019,5,All i have to say is i rlly like this app i get to txt my best friend abd post stuff
instagram,'83.0',3/6/2019,5,Jadaboo
