app,version,review_date,star_rating,review
instagram,'83.0',3/6/2019,2,After repeated attempts at getting assistance with this issue nothing has happened. No messages from anyone. No improvement whatsoever. I have been trying for months. I  have tried all the online advice but none has come from Instagram staff. My other account has music with zero issues. I dissatisfied with their customer support.
instagram,'83.0',3/6/2019,5,this is the best app I have jfiendndndjdidjrnfjduxjdnfnnffnnfjfjfi
instagram,'83.0',3/6/2019,5,Love this app but it would be even better if we could get an easier way to get to the beginning of our dms! hate scrolling all the way to the top!
instagram,'83.0',3/6/2019,5,it is very useful
instagram,'83.0',3/6/2019,5,Great
instagram,'83.0',3/6/2019,4,Instagram is great and all but you m so what would make it wayyyy better?? If we could see who saved your posts instead of just what posts were saved
instagram,'83.0',3/6/2019,1,"Hi, Instagram we as photographers need to rearrange our grid here and there so please make an update regarding this for a 5 star"
instagram,'83.0',3/6/2019,5,It is awesome but i would add some broader decorations of the IG. That would be even more cool.
instagram,'83.0',3/6/2019,5,It the best app to get
instagram,'83.0',3/6/2019,5,This is a amazing app
instagram,'83.0',3/6/2019,1,"Deadass cant log in, always get an error My friends cant log out and log back in because it will lock them out Fix. Your. App."
instagram,'83.0',3/6/2019,3,Not loving the new algorithms. Way harder to find and follow people organically.
instagram,'83.0',3/6/2019,3,Recently there has been a lot of horrible ads being promoted by Instagram but among the worst are sponsored posts from literal middle and high school kids just trying to gain followers.... I think this is clearly taking advantage of kids and setting up very harmful ideals of what they should value.... please do something about this.
instagram,'83.0',3/6/2019,3,What the hell is wrong with the post notification? I get at least three notifications for the SAME post someone I follow makes. Please fix this it is super annoying.   Also I always get live notification from someone I never interact with but no notification from someone I really care about. Can you improve your algorithm?
instagram,'83.0',3/6/2019,2,I no longer have the music sticker or option on my Instagram story and I have no idea what it would've have just disappeared now?
instagram,'83.0',3/6/2019,5,A lot of ads in my page
instagram,'83.0',3/6/2019,4,Please put a feature where you can edit your multiple images post. Can't tell you how many times I've posted and decided i wanted to add/delete a picture within the multiple post after i posted it.  I would very much appreciate it! Thanks
instagram,'83.0',3/6/2019,2,This new update as of 3/6/19 is so terrible and has to go. PLEASE GET RID OF IT
instagram,'83.0',3/6/2019,5,I love your app sm
instagram,'83.0',3/6/2019,4,"hi the new format thats on my main account is kinda funky and feels backwards of what instagram was doing, it feels so big and in your face rather than the old format that was smaller."
instagram,'83.0',3/6/2019,5,Excelente
instagram,'83.0',3/6/2019,4,"I love Instagram and I'm on it all the time. My only comment would be to be able to edit the photos differently. Like on a post, you can edit out some of the photos. If you have more than one photo, you could get rid of one of them and keep the other ones."
instagram,'83.0',3/6/2019,4,I wish I could get the real App Store version instead of the ITunes brbn.instagram one. Apple needs to fix the bugs that allow such issues.
instagram,'83.0',3/6/2019,5,The speed on it is so good and it shows peoples stories of their daily life so I luv it
instagram,'83.0',3/6/2019,1,i would give it 4 stars but im trying to log into my account and it doesnt let me!!!! it says error pls fix this NOW!!!
instagram,'83.0',3/6/2019,5,Enjoy instagram much better than any other social media!
