Timestamp,Have you used a shared scooter yet?,Do you think you'll use a shared scooter?,Where would you ride these scooters? ,Why would you use the scooters?,Feel free to expand: What do you like or dislike about scooters?
4/20/2018 7:34:46,No,Yes,Both! ,,"Easy, low profile, I can ride them with a dress on "
4/20/2018 7:38:33,No,Yes,Street/bike lane,,Look fun
4/20/2018 7:41:07,No,Yes,Sidewalk,,I love how non-invasive they are 
4/20/2018 7:42:41,No,No,i wouldn't,,"too fast for the sidewalk, too slow for the bike lane/street. "
4/20/2018 7:43:44,No,Maybe,Sidewalk,,"i like their low price point and the fact that they’re less effort than biking (and you can ride them in a dress) ... but i can’t figure out where the right place is to ride them. they feel too tiny/not nimble enough for the street or bike lane, but they’re not particularly safe for pedestrians on the sidewalk "
4/20/2018 7:45:57,Yes,Yes,Both depending on environment ,,Any alternative to a car is good! Safe and affordable too. Quick way to help neighborhood connectivity for those underserved by transportation options too 
4/20/2018 7:46:06,No,Maybe,"Bike lane where available, but sidewalk if no bike lane",,"They seem like a solution to a problem nobody has. If I am going to ride a scooter (especially while inexperienced or in an unfamiliar area) I’d like to have my bike helmet with me, and at that point, why not just take a bike? If I have my helmet, chances are I’ve already planned to be in an area that has a bikeshare station... and bikes are faster than scooters, I’m familiar with them, and I won’t have to download a new app for every new brand of scooter I encounter.

I also dislike that people leave them right in the middle of the freakin sidewalk. Would you park your car in the middle of the road? Have a little decorum, folks, and don’t make everybody else dodge your discarded transport!"
4/20/2018 7:48:51,Yes,Yes,Sidewalk,,
4/20/2018 7:52:12,No,Maybe,Street/bike lane,,"I don't like how they are just scattered around, blocking the sidewalks"
4/20/2018 7:57:42,No,Maybe,Sidewalk,,"They seem unsafe, they’re too fast for sidewalks, but out of place on the street where I wouldn’t want to be without a helmet/serious visibility gear"
4/20/2018 7:59:31,No,Maybe,Street/bike lane,,"Dislike when people leave them on street corners, blocking handicap access to the curb. "
4/20/2018 8:01:19,Yes,Yes,Sidewalk,,"I absolutely love these scooters! However they can go up to 13.8 mph, which is pretty fast for crowded or narrow sidewalks. Tried to take it on U street - was pretty difficult, but easy and awesome down constitution. They could use a bell, similar to bikes, so that pedestrians can move out of the way."
4/20/2018 8:01:49,No,No,,,i'm fine with them but wouldn't personally use one- I like walking
4/20/2018 8:03:46,No,Yes,Sidewalk,,
4/20/2018 8:05:25,Yes,Yes,Street/bike lane,,Stupid
4/20/2018 8:06:30,No,Maybe,Sidewalk,,
4/20/2018 8:10:09,Yes,Yes,Mix of the two,,"Cheap, fast, and typically accessible. Dislike the fact that they are easy to steal (my partner got attacked by a kid yesterday trying to take it), sometimes they're on the app but nowhere to be found IRL, and that their breaks kind of suck. Also, Waybots has no Android app... boo"
4/20/2018 8:10:21,No,Maybe,Sidewalk,,"Not sure I know how to ride them, or if these are electric. Might look stupid on one."
4/20/2018 8:10:27,Yes,Yes,Street/bike lane,,They’re so easy to grab 
4/20/2018 8:12:23,Yes,Yes,Street/bike lane,,
4/20/2018 8:12:24,No,Maybe,Sidewalk,,The way they lie discarded along the sidewalk like a kid got bored and just dropped it. That grown ass men in suits riding electric scooters just looks weird. That they’re so expensive. 
4/20/2018 8:14:41,No,Yes,Bike lane or sidewalk - whichever seems safer & less crowded,,It's great that you can get around for cheap while enjoying the outdoors but without breaking a sweat. Great for commuting to work in the morning.
4/20/2018 8:16:12,No,No,,,"Eh, they're fine. They look a bit dumb, but who am I to judge?"
4/20/2018 8:16:25,No,No,,,"My experience so far is that people riding them are a bit reckless on the sidewalks, dodging in and out of pedestrians, and they seem more unsafe than bikes on sidewalks."
4/20/2018 8:16:57,No,No,,,People zipping by disobeying traffic and pedestrian laws both.
4/20/2018 8:18:59,Yes,Yes,Sidewalk,,
4/20/2018 8:26:23,No,Yes,Both - I've seen people dip into bike lanes and then slide up on sidewalks. This is honestly what is holding me back from trying one - I'm not sure what the protocol is!,,"When I was 10 I would go to the neighborhood tennis courts and pretend that I was in the Razor Scooter Olympics. I'd do routines and scoot on one foot and spin around and truly that's my favorite thing about scooters. So now with a battery powered scooter, the gold medal is surely within my grasp "
4/20/2018 8:27:04,Yes,Yes,Depends on volume of pedestrians on sidewalk and business of road,,A bit too expensive compared to bikes. There will always be people who are irresponsible in how they use them unfortunately 
4/20/2018 8:27:56,No,No,Sidewalk,,"Seem unstable, less protected, and and harder to steer "
4/20/2018 8:29:47,No,Yes,Street/bike lane,,LIKE!
4/20/2018 8:30:01,No,No,Street/bike lane,,"People who ride scooters on the sidewalk create temporary chaos for the walking towards them. I don’t know if the user is suddenly going to hit me, which side they will pass me on etc. I’m 24 and have these concerns, I can’t imagine how elderly folk feel. "
4/20/2018 8:39:01,No,Yes,Street/bike lane,,
4/20/2018 8:39:44,No,No,Sidewalk,,People don't wear helmets and take much more risks on them
4/20/2018 8:45:20,No,No,Sidewalk,,They make it so hard for pedestrians to walk and are dangerous to pedestrians. 
4/20/2018 8:45:37,No,No,Street/bike lane,,Adults shouldn't use scooters. 
4/20/2018 8:47:38,No,Maybe,Sidewalk,,One automatically looks like a douchebag riding around on one of those. It looks like gentrification on wheels. 
4/20/2018 8:51:38,No,No,not at all,,"Unsafe, hard to see for drivers, and all over the sidewalks"
4/20/2018 8:52:16,No,No,,,People drive them recklessly/pop out of nowhere then leave them in the middle of the sidewalk. Our city looks like a messy child's playroom.
4/20/2018 8:52:35,No,Maybe,Street/bike lane,,"They seem really unsafe - starting and stopping is different on a scooter than it is on a bike, and people go pretty fast. Also not a fan of people riding them on the sidewalk and trying to weave through pedestrians. "
4/20/2018 8:57:00,No,No,I wouldn't. If you  like ride them down the left side of the road and get your just comeuppance in the form of a honking SUV riding. you. down.,,"Like: nothing. Dislike: aesthetic, principle, lack of designated place to ride so they SNEAK UP behind you, company names, and their appeal to white people wearing expensive workout clothes that are rushing back to their luxury apartments on 14th St after attending one of the too-many bourgeoisie gym classes that cost more than a scooter apiece. FREAKING WALK you'll need those leg muscles when the revolution tears down your building and melts your scooters down to make decent infrastructure for this entire city."
4/20/2018 8:59:18,No,Yes,Street/bike lane,,"Easy to ride, especially if wearing a dress. Seems a bit less sturdy than a bike, so worried about safety of using them in bike lanes. Also unsure of legality in bike lanes. "
